alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
0.06,1,0.04,0.399833066,0.515630261,,,,
0.06,1,0.05,0.3997888,0.5156914,,,,
0.06,1,0.06,0.399759481,0.515724551,,,,
0.06,1,0.07,0.399736454,0.515750398,,,,
0.06,1,0.08,0.399678529,0.515797614,,,,
0.06,1,0.09,0.399650794,0.515824603,,,,
0.06,1,0.1,0.3996,0.515870891,,,,
0.06,1,0.11,0.399529842,0.515935771,,,,
0.06,1,0.12,0.399498225,0.515972978,,,,
0.06,1,0.13,0.399455906,0.516011811,,,,
0.06,1,0.14,0.399444008,0.516024165,,,,
0.06,1,0.15,0.39940451,0.516065294,,,,
0.06,1,0.16,0.399370841,0.516106458,,,,
0.06,1,0.17,0.399365039,0.516111914,,,,
0.06,1,0.18,0.399354971,0.51612729,,,,
0.06,1,0.19,0.399311479,0.516185798,,,,
0.06,1,0.2,0.399279223,0.516215922,,,,
0.06,1,0.21,0.399236822,0.516261628,,,,
0.06,1,0.22,0.399190716,0.516310058,,,,
0.06,1,0.23,0.399148263,0.516361583,,,,
0.06,1,0.24,0.399144701,0.516357996,,,,
0.06,1,0.25,0.399136154,0.516365,,,,
0.06,1,0.26,0.399095393,0.516403839,,,,
0.06,1,0.27,0.399082759,0.516424521,,,,
0.06,1,0.28,0.39906826,0.516448757,,,,
0.06,1,0.29,0.399048664,0.516476145,,,,
0.06,1,0.3,0.39902781,0.516492,,,,
0.06,1,0.31,0.39901692,0.516507034,,,,
0.06,1,0.32,0.398983871,0.516540038,,,,
0.06,1,0.33,0.398981061,0.516535227,,,,
0.06,1,0.34,0.398941399,0.516589603,,,,
0.06,1,0.35,0.398930189,0.516602264,,,,
